FacilityId,ShiftDate,ShiftName,ResourceId,ArticleGender,ArticlePart,MaintainHour,MoldChange,ShiftWork,MoldworkY,MoldworkN,ArticleMoldid,ArticleMoldsize,ArticleCode,ArticleColor,ArticlePartColor,MoldQty,moldpcsqty,AroudQty,ShiftMoldQty,HourMoldQty,WorkQty,ShiftWorkQty,ArticleQty,WorkSize,aufnr,AufnrFlag,plnbez,WorkQtyYet,ProductId,MoldPcsSeq,ThreadName,AufnrSeq,MoldSeq,RescourseMoldSeq
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,0.23,7.44,65044,UK_5,N,CORE BLACK,A0QM,1,1,35.33,33.87,4.42,1,1,1,UK_5,100031063221,,HR0001000031394005,1,2412120000000020000,1,L2,398,329,21
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,18336,UK_5-,NA,50%GUM5,50%27F0,7,7,38.33,36.75,4.79,37,37,134,UK_5-,100030678493,,HR0001000033303006,134,2412120000000000000,1,L2,499,385,22
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,18336,UK_5-,NA,50%GUM5,50%27F0,7,7,38.33,36.75,4.79,37,37,97,UK_5-,100030678493,,HR0001000033303006,97,2412120000000000000,1,L2,499,385,23
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,18336,UK_5-,NA,50%GUM5,50%27F0,7,7,38.33,36.75,4.79,37,37,60,UK_5-,100030678493,,HR0001000033303006,60,2412120000000000000,1,L2,499,385,24
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,64986,UK_10,N,CARBON S18/25%CARBON S18,AAGG/25%AAGG,4,4,34.33,32.91,4.29,33,33,51,UK_10,100030726405,,HR0001000028450014,51,2412120000000000000,1,L3,2,2,25
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,4.2,3.47,64986,UK_10,N,CARBON S18/25%CARBON S18,AAGG/25%AAGG,4,4,34.33,32.91,4.29,18,18,18,UK_10,100030726405,,HR0001000028450014,18,2412120000000000000,1,L3,2,2,26
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,64986,UK_8-,N,LUCID LEMON F23/75%LUCID LEMON F23,AEWQ/75%AEWQ,2,2,34.33,32.91,4.29,33,33,82,UK_8-,100030961528,,HR0001000029385011,82,2412120000000000000,1,L3,3,3,27
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,6.11,1.56,5344,UK_3-,N,80%GUM 2,80%18F0,1,1,36.67,35.16,4.58,28,28,28,UK_3-,100031114293,,HR0001000032645002,28,2412120000000000000,1,L3,4,4,28
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,0.58,7.09,64699,UK_6,N,FTWR WHITE,01F7,2,2,41,39.31,5.13,3,3,3,UK_6,100031114374,,HR0001000028694006,3,2412120000000000000,1,L3,5,5,29
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,2.8,4.87,64986,UK_6-,N,DASH GREY S20/90%DASH GREY S20,ADAN/90%ADAN,3,3,34.33,32.91,4.29,12,12,12,UK_6-,100030961569,,HR0001000028726007,12,2412120000000000000,1,L3,6,6,30
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,1.17,6.5,64986,UK_9,N,SANDY PINK F24/50%SANDY PINK F24,AFB1/50%AFB1,3,3,34.33,32.91,4.29,5,5,5,UK_9,100030961945,,HR0001000028360012,5,2412120000000000000,1,L3,7,7,31
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,1.17,6.5,64986,UK_3-,N,HALO SILVER S21/75%HALO SILVER S21,ADW8/75%ADW8,1,1,34.33,32.91,4.29,5,5,5,UK_3-,100030895993,,HR0001000028355001,5,2412120000000000000,1,L3,9,9,32
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.66,0.01,66331,UK_11,N,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,2,2,33.33,31.96,4.17,32,32,478,UK_11,100031073333,,HR0001000030761012,67,2412120000000000000,1,L3,10,10,33
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,2.8,4.87,64986,UK_6-,N,HALO SILVER S21/75%HALO SILVER S21,ADW8/75%ADW8,3,3,34.33,32.91,4.29,12,12,12,UK_6-,100030895983,,HR0001000028287007,12,2412120000000000000,1,L3,12,12,34
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,55844,UK_7-,N,CORE BLACK/BOLD GOLD,A0QM/005A,1,1,40,38.35,5,39,16,85,UK_7-,100031147205,,HR0001000032958009,16,2412120000000000000,2,L3,13,13,35
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,55844,UK_7-,N,CORE BLACK/BOLD GOLD,A0QM/005A,1,1,40,38.35,5,39,23,85,UK_7-,100031147206,,HR0001000032958009,69,2412120000000000000,2,L3,99,13,36
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,61023,UK_7-,N,CORE BLACK/GREY THREE F17/COLLEGIATE GOLD,A0QM/AA2T/06F0,4,4,32.67,31.32,4.08,32,30,356,UK_7-,100030714291,,HR0001000026347010,30,2412120000000000000,1,L3,14,14,37
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.67,0,61023,UK_7-,N,CORE BLACK/GREY THREE F17/COLLEGIATE GOLD,A0QM/AA2T/06F0,4,4,32.67,31.32,4.08,32,2,356,UK_7-,100030629464,,HR0001000026347010,61,2412120000000000000,1,L3,26,14,38
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,64986,UK_5,N,CORE BLACK/25%CORE BLACK,A0QM/25%A0QM,2,2,34.33,32.91,4.29,33,33,88,UK_5,100030961941,,HR0001000028362004,88,2412120000000000000,1,L3,15,15,39
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,64986,UK_5,N,CORE BLACK/25%CORE BLACK,A0QM/25%A0QM,2,2,34.33,32.91,4.29,33,33,55,UK_5,100030961941,,HR0001000028362004,55,2412120000000000000,1,L3,15,15,40
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,2.33,5.34,64986,UK_12,N,CARBON S18/25%CARBON S18,AAGG/25%AAGG,1,1,34.33,32.91,4.29,10,10,10,UK_12,100030895860,,HR0001000028450018,10,2412120000000000000,1,L3,19,19,41
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.66,0.01,66331,UK_10,N,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,2,2,33.33,31.96,4.17,32,32,35,UK_10,100030629402,,HR0001000031553010,35,2412120000000000000,1,L3,20,20,42
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,0.72,6.95,66331,UK_10,N,GREY ONE F17/COLLEGIATE GOLD,AA2R/06F0,2,2,33.33,31.96,4.17,3,3,3,UK_10,100030629402,,HR0001000031553010,3,2412120000000000000,1,L3,20,20,43
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,4.37,3.3,5344,UK_10-,N,80%GUM 5,80%27F0,1,1,36.67,35.16,4.58,20,3,20,UK_10-,100030750383,,HR0001000032644016,3,2412120000000000000,1,L3,21,21,44
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,4.37,3.3,5344,UK_10-,N,80%GUM 5,80%27F0,1,1,36.67,35.16,4.58,20,17,20,UK_10-,100030678489,,HR0001000032644016,17,2412120000000000000,1,L3,331,21,45
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.66,0.01,66680,UK_6-,N,TECH INDIGO S20,ADAM,1,1,39.33,37.71,4.92,38,38,297,UK_6-,100031149997,,HR0001000033297008,102,2412120000000000000,1,L3,22,22,46
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,W,H0001,0,0.33,7.67,7.67,0,5344,UK_4-,N,80%GUM 2,80%18F0,3,3,36.67,35.16,4.58,36,36,1165,UK_4-,100031116379,,HR0001000032645004,802,2412120000000000000,1,L3,23,23,47
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.66,0.01,66331,UK_12,N,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,1,1,33.33,31.96,4.17,32,22,89,UK_12,100030802768,,HR0001000030761014,22,2412120000000000000,1,L3,24,24,48
2210030000000000000,20250602,6330_VNbc_1stShift,2210030000000000000,M,H0001,0,0.33,7.67,7.66,0.01,66331,UK_12,N,CORE BLACK/COLLEGIATE GOLD,A0QM/06F0,1,1,33.33,31.96,4.17,32,10,89,UK_12,100030802764,,HR0001000030761014,67,2412120000000000000,1,L3,551,24,49
